symbol,fiscal_year,quarter,eps,eps_a,dps,roe,net_profit,paidup_capital,pde,pe,price
GMFBS,082/083,q3,53.71,53.71,-2.7,31.6,61044929.64,151554532.5,-428.89,21.56,1158.0
GMFIL,082/083,q3,6.0,6.0,-0.72,3.56,45567000.0,1012176000.0,-620.83,74.5,447.0
GMLI,082/083,q3,2.59,3.53,2.59,2.42,14583898.0,750000000.0,424.32,424.32,1099.0
GRDBL,082/083,q3,7.63,7.63,4.47,6.52,35240100.0,615500000.0,232.89,136.44,1041.0
GUFL,082/083,q3,19.89,19.89,-67.06,12.57,129474705.0,867993800.0,-8.22,27.7,551.0
GVL,082/083,q3,14.38,19.13,19.13,15.21,494414696.0,3437500000.0,24.93,33.17,477.0
HATHY,082/083,q3,0.95,0.95,0.95,1.41,22610405.0,1585584000.0,712.63,712.63,677.0
HBL,082/083,q3,4.5,4.5,-46.36,2.69,762536317.0,22581662532.0,-4.2,43.29,194.8
HDHPC,082/083,q3,-4.32,-2.45,-2.45,-5.87,-91600357.92,2800000000.0,-86.53,-49.07,212.0
HDL,082/083,q3,30.78,30.78,30.78,23.29,851305526.0,3688082175.0,38.17,38.17,1175.0
HEI,082/083,q3,5.9,5.9,5.9,2.87,110568874.0,2500157400.0,90.68,90.68,535.0
HFIN,082/083,q3,-12.07,-12.07,-12.07,-10.9,-54062158.0,2000000000.0,-56.34,-56.34,680.0
HHL,082/083,q3,6.22,6.22,6.22,4.03,68055422.0,1095000000.0,55.23,55.23,343.5
HIDCL,082/083,q3,2.93,2.93,3.23,2.59,546986000.0,24928211000.0,79.26,87.37,256.0
HIMSTAR,082/083,q3,-73.09,-73.09,-73.09,-31.78,-70389037.0,373000000.0,-9.44,-9.44,690.0
HLBSL,082/083,q4,31.26,31.26,27.31,22.41,106610032.0,341086036.0,31.35,27.39,856.1
HLI,082/083,q3,3.81,4.52,3.81,3.79,261444376.0,9143237306.0,84.2,84.2,320.8
HPPL,082/083,q3,11.82,15.72,15.72,12.3,125959377.0,1065417000.0,24.4,32.45,383.5
HRL,082/083,q3,-0.54,-0.54,11.92,-0.36,-44352833.0,10868000000.0,48.57,-1072.22,579.0
HURJA,082/083,q4,7.57,7.57,7.57,7.72,149917964.69,1980000000.0,32.29,32.29,244.4
ICFC,082/083,q4,22.33,22.33,11.98,11.79,264224940.0,1183470960.0,50.08,26.87,600.0
IGI,082/083,q3,0.02,0.02,-11.96,0.11,438069.0,3029334639.0,-35.87,21450.0,429.0
IHL,082/083,q3,2.64,2.64,2.64,2.02,11871121.0,600000000.0,129.92,129.92,343.0
ILBS,082/083,q3,20.31,20.31,-1.62,14.47,75782073.0,497415943.0,-551.85,44.02,894.0
ILI,082/083,q3,9.81,10.83,9.81,6.44,367916114.0,5000000000.0,42.51,42.51,417.0
JBBL,082/083,q4,22.88,22.88,3.28,13.38,1005952993.0,4395785886.0,103.05,14.77,338.0
JBLB,082/083,q3,47.73,47.73,59.7,2.55,626927763.0,1751235562.0,21.16,26.47,1263.4
JFL,082/083,q4,1.35,1.35,-163.3,-151.85,9343975.12,690472800.0,-2.33,281.7,380.3
JHAPA,082/083,q3,5.63,5.63,5.63,5.49,16062415.0,380190000.0,192.7,192.7,1084.9
JOSHI,082/083,q2,-3.58,-7.17,-7.17,-10.56,-21958555.0,612810000.0,-39.05,-78.21,280.0
JSLBB,082/083,q3,8.07,8.07,-1.01,4.72,10318529.0,170091900.0,-959.41,120.07,969.0
KBL,082/083,q4,28.17,28.17,3.02,16.49,7557823607.0,26225861340.0,71.79,7.7,216.8
KBSH,082/083,q3,9.93,9.93,9.93,7.61,10986970.0,147459675.0,95.16,95.16,944.9
KDL,082/083,q4,9.16,9.16,9.16,8.38,57684461.0,630000000.0,84.07,84.07,770.1
KHPL,082/083,q3,0.29,0.38,0.38,0.36,1183630.0,550000000.0,2131.58,2793.1,810.0
KKHC,082/083,q3,-1.56,2.08,-1.49,2.33,-14555206.0,931428600.0,-236.44,-225.83,352.3
KMCDB,082/083,q4,27.4,27.4,19.68,15.33,122883804.0,448461535.0,39.89,28.65,785.0
KPCL,082/083,q3,12.77,12.77,12.77,10.32,89475509.0,933949500.0,36.27,36.27,463.2
KRBL,081/082,q1,-3.95,-3.94,6.6,7.22,-19829007.0,502830000.0,0.0,0.0,
KSBBL,082/083,q4,22.75,22.75,15.16,13.87,894178126.0,4211930815.0,31.62,21.07,479.4
LBBL,082/083,q4,23.48,23.48,16.99,10.99,851015562.0,3623678162.0,28.46,20.59,483.5
LEC,082/083,q3,0.45,0.6,0.6,0.85,10088938.79,2250000000.0,384.5,512.67,230.7
LICN,082/083,q3,7.77,8.17,7.77,4.39,320467338.0,5500000000.0,100.13,100.13,778.0
LLBS,082/083,q3,17.29,17.29,11.47,8.94,57265340.0,441662100.0,77.59,51.47,889.9
LSL,082/083,q3,10.15,10.15,1.93,5.89,2038184000.0,26781163000.0,113.47,21.58,219.0
MABEL,082/083,q3,2.33,-2.92,-2.92,0.06,173117.0,385824000.0,-207.16,259.61,604.9
MAKAR,082/083,q4,10.3,10.3,10.3,8.98,78243927.0,760000000.0,40.78,40.78,420.0
MANDU,082/083,q4,23.36,23.36,23.36,14.34,318551200.0,1363637000.0,35.7,35.7,833.9
MATRI,082/083,q3,11.34,15.11,-77.93,11.4,71230478.0,628357337.0,-10.45,71.78,814.0
MBJC,082/083,q3,1.71,1.71,1.71,0.46,76741660.0,6000000000.0,155.03,155.03,265.1
MBL,082/083,q3,18.3,18.3,7.81,10.9,1658659813.0,15086211564.0,31.88,13.61,249.0
MCHL,082/083,q3,0.93,0.93,0.93,-3.87,3770520.0,542583300.0,301.08,301.08,280.0
MDB,082/083,q4,11.6,11.6,11.73,8.15,141215829.0,1217100000.0,49.36,49.91,579.0
MEGA,079/080,q1,12.63,,10.14,8.9,509169278.0,16120461453.0,0.0,0.0,
MEHL,082/083,q4,1.73,1.73,1.73,2.68,13876185.0,800000000.0,161.27,161.27,279.0
MEL,082/083,q3,-3.11,-3.11,-3.11,5.29,67669000.0,2900000000.0,-68.01,-68.01,211.5
MEN,082/083,q4,25.52,25.52,25.52,16.93,797043756.0,3123258850.0,24.1,24.1,615.0
MERO,082/083,q3,13.33,13.33,10.16,8.75,148575606.0,1486402500.0,65.45,49.89,665.0
MFIL,082/083,q3,21.6,21.6,22.6,8.89,218910213.0,1351552849.0,33.5,35.05,757.0
MHCL,082/083,q3,7.8,10.38,10.38,11.81,62615126.0,802500000.0,29.96,39.87,311.0
MHL,082/083,q3,8.47,8.47,8.47,7.45,41086507.0,646767085.0,54.9,54.9,465.0
MHNL,082/083,q3,6.14,8.17,8.17,3.67,76743926.0,1250000000.0,29.98,39.89,244.9
MKCL,082/083,q3,-3.49,-3.49,-3.49,-3.35,-19762751.0,756000000.0,-300.29,-300.29,1048.0
MKHC,082/083,q4,1.58,1.58,1.58,2.57,15850000.0,1000000000.0,169.94,169.94,268.5
MKHL,082/083,q3,3.92,3.92,3.92,3.77,11538450.0,392156800.0,127.58,127.58,500.1
MKJC,082/083,q4,0.46,0.46,0.46,0.45,1732661.0,376319800.0,976.09,976.09,449.0
MLBBL,082/083,q4,20.07,20.07,12.8,11.95,51357077.41,255843621.85,82.97,52.91,1062.0
MLBL,082/083,q4,13.96,13.96,10.31,8.66,629951628.0,4511281066.0,33.95,25.07,350.0
MLBS,082/083,q3,16.06,16.06,-16.06,11.72,13174850.0,109375000.0,-69.5,69.5,1116.1
MLBSL,082/083,q3,25.31,33.74,26.94,13.83,55061514.0,217562500.0,47.48,50.53,1279.0
MMKJL,082/083,q4,11.13,11.13,11.13,11.07,111282991.0,1000000000.0,39.89,39.89,444.0
MNBBL,082/083,q4,18.98,18.98,8.45,12.27,1518361000.0,800089000.0,42.98,19.14,363.2
MPFL,082/083,q3,1.16,1.16,1.16,0.97,5323772.58,610200000.0,545.95,545.95,633.3
MSHL,082/083,q3,18.32,18.32,18.32,13.65,102817485.0,748400000.0,32.42,32.42,594.0
MSLB,082/083,q4,49.88,49.88,42.58,29.11,193278213.08,387494866.46,29.24,24.96,1245.0
NABBC,082/083,q3,-10.98,-12.61,-9.48,-28.76,-49781513.0,524993055.0,-85.55,-73.86,811.0
NABIL,082/083,q4,28.36,28.36,19.1,11.76,7905796000.0,32056997000.0,28.79,19.39,549.9
NADEP,082/083,q3,13.4,17.87,9.77,10.94,65105983.0,485760000.0,73.18,53.36,715.0
NBB,078/079,q3,14.69,,,9.165864146314275,1111137180.0,10085399740.0,0.0,0.0,
NBL,082/083,q3,25.34,25.34,2.92,9.59,2792981922.0,14694022928.0,92.4,10.65,269.8
NCCB,079/080,q1,18.56,,13.23,12.46,516836162.0,11139678014.0,0.0,0.0,
NESDO,082/083,q3,48.81,65.09,70.55,22.58,142215065.02,291337500.0,20.61,29.79,1454.0
NFS,082/083,q3,-10.14,-13.48,-48.42,-11.01,-78625205.0,775646747.0,-11.67,-55.72,565.0
NGPL,082/083,q3,1.95,1.39,1.39,0.91,40469238.0,3878429974.0,298.49,212.77,414.9
NHDL,082/083,q3,16.58,16.58,16.58,14.54,57167000.0,423134000.0,38.42,38.42,637.0
NHPC,082/083,q3,2.11,1.04,1.04,1.44,25989250.0,2467162915.0,257.69,127.01,268.0
NICA,082/083,q3,1.27,1.27,-91.56,0.73,140324168.0,14917566922.0,-3.54,255.43,324.4
NICL,082/083,q3,5.55,5.55,5.55,3.2,106017179.0,2548575005.0,90.09,90.09,500.0
NICLBSL,082/083,q3,6.15,8.2,-18.61,4.83,106916003.0,1739440000.0,-29.82,90.23,554.9
NIFRA,082/083,q4,4.57,4.57,2.49,2.37,987395000.0,21600000000.0,99.64,54.29,248.1
NIL,082/083,q3,17.74,17.74,17.74,3.53,163956171.0,2772278300.0,34.33,34.33,609.0
NIMB,082/083,q3,12.29,12.29,-9.09,6.3,3146769000.0,34128595000.0,-21.33,15.78,193.9
NLG,082/083,q3,0.98,1.74,0.86,1.02,34810186.0,2667833409.0,656.98,576.53,565.0
NLIC,082/083,q3,6.4,7.11,6.4,5.05,454894359.0,9480201370.0,114.36,114.36,731.9
NLICL,082/083,q3,9.95,11.07,9.95,7.47,416629885.0,5691649325.0,57.79,57.79,575.0
NMB,082/083,q4,20.18,20.18,9.08,11.58,4013671000.0,22285041000.0,26.74,12.03,242.8
NMBMF,082/083,q3,16.08,16.08,9.29,11.26,87013314.0,721449149.0,65.65,37.93,609.9
NMFBS,082/083,q3,38.69,51.59,44.53,19.83,588660000.0,1521363000.0,25.49,29.34,1135.0
NMIC,082/083,q3,4.54,4.54,4.54,2.12,11966060.0,750000000.0,198.24,198.24,900.0
NMLBBL,082/083,q4,16.88,16.88,-8.72,9.04,235901425.0,1397764272.0,-58.72,30.33,512.0
NRIC,082/083,q3,-43.51,-57.87,-57.87,-52.99,-5840295336.0,13422187078.0,-15.86,-21.1,918.0
NRM,082/083,q4,-3.18,-3.18,-3.18,-3.71,-30720683.0,967500000.0,-94.97,-94.97,302.0
NRN,082/083,q3,-4.12,-5.49,-5.49,-3.18,-74072850.0,1798121200.0,-253.19,-337.38,1390.0
NTC,082/083,q3,46.47,46.47,46.47,8.41,6272995999.0,18000000000.0,19.0,19.0,883.0
NUBL,082/083,q3,5.65,7.54,5.04,3.51,155021711.0,2742683738.0,119.44,106.55,602.0
NWCL,082/083,q3,-5.19,-6.91,-6.09,-6.97,-35695758.0,687500000.0,-113.3,-132.95,690.0
NYADI,082/083,q4,2.7,2.7,2.7,3.92,40447000.0,1500000000.0,135.19,135.19,365.0
OHL,082/083,q3,-2.48,-3.3,-4.63,-1.0,-29351453.0,1184494960.0,-144.49,-269.76,669.0
OMPL,082/083,q3,-6.83,-9.1,-9.1,-9.31,-40969930.0,600000000.0,-99.78,-132.94,908.0
PCBL,082/083,q3,19.66,19.66,4.76,11.98,3089335315.0,20954781773.0,50.82,12.3,241.9
PCIL,082/083,q3,2.48,2.48,2.48,1.57,57311542.0,3750000000.0,257.66,257.66,639.0
PFL,082/083,q3,9.0,9.0,-129.85,14.16,73077475.0,1082556605.0,0.0,0.0,
PHCL,082/083,q3,0.18,0.18,0.18,0.16,3818724.0,3200000000.0,1680.0,1680.0,302.4
PMHPL,082/083,q4,6.07,6.07,6.07,7.28,66795756.0,1100000000.0,52.06,52.06,316.0
PMLI,082/083,q3,6.91,5.02,6.91,5.96,275070861.0,5307793920.0,62.39,62.39,431.1
PPCL,082/083,q4,8.85,8.85,8.85,8.97,85163270.0,962500000.0,37.84,37.84,334.9
PPL,082/083,q3,-1.9,-2.53,-2.53,-2.46,-18040000.0,948900000.0,-128.46,-171.05,325.0
PRIN,082/083,q3,16.58,16.58,16.58,3.66,211555528.0,1700955920.0,39.93,39.93,662.0
PROFL,082/083,q3,-3.89,-3.89,-52.33,-5.17,-24743250.0,848106000.0,-8.0,-107.58,418.5
PRVU,082/083,q3,4.82,4.82,-18.21,3.3,851523000.0,23542490000.0,-10.27,38.8,187.0
PURE,082/083,q3,1.95,1.95,1.95,1.91,11712925.0,800000000.0,420.0,420.0,819.0
RADHI,082/083,q3,23.49,23.49,23.49,17.8,433720812.0,1838979317.0,30.82,30.82,724.0
RAWA,082/083,q3,9.58,12.74,12.74,15.03,26811952.0,280000000.0,33.61,44.7,428.2
RBCL,082/083,q3,108.37,108.37,108.37,2.21,288953404.0,266639059.0,130.57,130.57,14150.0
RFPL,082/083,q3,1.78,1.78,1.78,1.5,18656340.0,1400000000.0,190.56,190.56,339.2
RHGCL,082/083,q3,0.03,0.03,0.03,0.03,263831.0,1225587600.0,8890.0,8890.0,266.7
RHPL,082/083,q3,-18.92,-24.1,-24.1,-34.12,-1239653000.0,6842100000.0,-10.6,-13.5,255.5
RIDI,082/083,q3,4.3,4.3,4.3,4.16,74921163.0,2323351800.0,85.56,85.56,367.9
RLEL,082/083,q3,10.57,10.57,10.57,8.43,93909252.0,1185000000.0,84.2,84.2,890.0
RLFL,082/083,q3,4.51,4.51,-21.59,3.88,37901000.0,1121452000.0,-20.8,99.56,449.0
RNLI,082/083,q3,12.46,15.24,12.07,8.24,470417333.0,5196800000.0,35.38,34.27,427.0
RRHP,078/079,q3,13.09,,,11.86,54978680.0,560000000.0,0.0,0.0,
RSDC,082/083,q4,13.37,13.37,10.97,7.3,138238245.0,1034064417.0,57.61,47.27,632.0
RSML,082/083,q3,20.42,20.42,20.42,3.76,266892121.44,1900000000.0,125.17,125.17,2556.0
RURU,082/083,q3,16.5,16.5,16.5,7.81,62031673.0,624054424.0,37.01,37.01,610.6
SABBL,082/083,q3,-0.61,-0.81,-3.18,-0.59,-3189364.7,522388000.0,-292.45,-1524.59,930.0
SADBL,082/083,q4,23.83,23.83,13.19,14.52,889937935.0,3734068506.0,31.35,17.35,413.5
SAGAR,082/083,q3,-6.49,-6.49,-6.49,-5.1,-35357203.0,726000000.0,-254.7,-254.7,1653.0
SAHAS,082/083,q4,29.72,29.72,29.72,21.9,1359156439.0,4573800000.0,22.78,22.78,677.0
SAIL,082/083,q3,1.33,1.33,1.33,1.11,2058682.0,1631250000.0,826.32,826.32,1099.0
SALICO,082/083,q3,6.77,6.77,6.77,2.89,133213732.0,2622638200.0,86.85,86.85,588.0
SANIMA,082/083,q4,25.75,25.75,20.85,14.39,3550144525.0,15581525414.0,17.75,14.37,370.0
SANVI,082/083,q3,-5.03,-6.37,-6.37,-7.88,-56079944.0,880000000.0,-92.15,-116.7,587.0
SAPDBL,082/083,q4,18.04,18.04,-66.98,20.8,150473889.0,834338432.0,-11.76,43.67,787.8
SARBTM,082/083,q3,23.12,23.12,23.12,11.77,905813241.0,5224275000.0,34.38,34.38,794.9
SBI,082/083,q4,18.04,18.04,11.04,9.59,2044330739.0,11335124391.0,36.68,22.44,404.9
SBL,082/083,q4,23.06,23.06,26.15,10.62,3519409797.0,18294479199.0,15.72,17.82,411.0
SCB,082/083,q3,27.64,27.64,17.69,12.87,2081621000.0,10042368000.0,37.3,23.87,659.9
SFCL,082/083,q3,0.12,0.12,-75.69,0.2,740635.0,818911400.0,0.0,0.0,
SGHC,082/083,q4,11.13,11.13,11.13,13.31,177349252.0,1593000000.0,26.86,26.86,299.0
SGIC,082/083,q3,3.19,3.19,3.19,2.08,51364044.0,2150000000.0,142.29,142.29,453.9
SHBL,075/076,q1,0.2,,,,-148640.0,72994800.0,0.0,0.0,
SHEL,082/083,q3,13.58,8.96,8.96,8.14,204713095.0,3045000000.0,34.15,22.53,306.0
SHINE,082/083,q4,23.52,23.52,16.86,15.35,1181279437.0,5021972730.0,24.61,17.64,414.9
SHIVM,082/083,q3,14.76,14.76,14.76,7.95,619192409.0,5593228713.0,42.75,42.75,631.0
SHL,082/083,q3,4.69,6.23,6.23,23.32,550732618.0,1175152540.0,80.96,107.55,504.4
SHLB,082/083,q3,19.98,19.98,11.68,7.3,16380240.0,109375000.0,122.31,71.5,1428.6
SHPC,082/083,q3,3.62,4.82,4.82,3.61,135481534.0,3737993710.0,102.72,136.77,495.1
SICL,082/083,q3,3.03,3.03,3.03,1.6,70575608.0,3101567800.0,202.31,202.31,613.0
SIFC,082/083,q3,3.38,3.38,1.95,2.43,25360875.0,1000000000.0,262.56,151.48,512.0
SIKLES,082/083,q3,16.3,16.3,16.3,14.48,119491508.04,977500000.0,34.63,34.63,564.5
SINDU,082/083,q3,-7.91,-7.91,-47.78,-8.64,-33073687.0,557456067.0,-14.32,-86.47,684.0
SIPD,082/083,q3,-4.97,-6.62,-6.62,-6.84,-48664509.0,980000000.0,-101.06,-134.61,669.0
SJCL,082/083,q3,0.79,0.79,0.79,0.96,21538630.0,3650000000.0,341.65,341.65,269.9
SJLIC,082/083,q3,8.79,8.06,8.79,6.99,330332699.0,5011947797.0,47.16,47.16,414.5
SKBBL,082/083,q4,13.26,13.26,33.46,7.95,653145927.08,4927170079.47,22.41,56.55,749.8
SKHEL,082/083,q3,-4.37,-4.37,-4.37,-4.74,-22608471.0,689674400.0,-224.26,-224.26,980.0
SKHL,082/083,q3,11.73,15.64,15.64,8.49,181775158.41,1550000000.0,55.63,74.17,870.0
SLBBL,082/083,q3,23.47,30.3,18.01,19.51,210230760.62,895633630.43,44.53,34.17,802.0
SLBSL,082/083,q3,34.45,45.93,-42.02,33.46,58835585.0,170805000.0,-22.51,27.46,945.9
SMATA,082/083,q3,16.62,16.62,8.76,11.88,82307530.0,660504140.0,82.42,43.44,722.0
SMB,082/083,q4,56.82,56.82,50.78,27.7,76184954.0,134075577.0,36.0,32.17,1827.9
SMFBS,082/083,q3,37.96,37.96,48.58,17.56,43690181.0,153445509.0,30.4,38.91,1477.0
SMH,082/083,q3,7.06,9.4,9.4,7.17,37792058.0,535000000.0,54.47,72.52,512.0
SMHL,082/083,q4,18.4,18.4,18.4,20.48,425993090.0,2315250000.0,26.96,26.96,496.0
SMJC,082/083,q3,3.14,3.14,3.14,2.81,26829350.0,1173200000.0,137.64,137.64,432.2
SMPDA,082/083,q3,18.9,25.2,9.45,15.71,132475743.0,700858345.0,79.68,39.84,753.0
SNLI,082/083,q3,8.55,11.3,8.55,6.05,340023147.0,5282793600.0,48.07,48.07,411.0
SNORL,082/083,q4,14.21,14.21,14.21,10.64,111818242.51,937500000.0,62.98,62.98,895.0
SOHL,082/083,q3,8.58,11.41,11.41,8.42,858102785.0,10000000000.0,58.81,78.21,671.0
SONA,082/083,q3,7.35,9.78,9.78,4.96,226134709.0,3075050000.0,41.21,54.83,403.0
SPC,082/083,q3,-0.95,-0.95,-1.76,-0.32,-1298443.0,500000000.0,-237.78,-440.53,418.5
SPDL,082/083,q3,9.18,5.33,5.33,2.96,53236534.37,1330848750.0,69.79,40.52,372.0
SPHL,082/083,q3,3.79,3.79,1.79,5.33,11372969.0,300000000.0,297.21,140.37,532.0
SPIL,082/083,q3,1.91,1.91,1.91,0.76,40134364.95,2806549900.0,364.71,364.71,696.6
SPL,082/083,q3,8.16,8.16,8.16,8.05,12233315.0,200000000.0,80.64,80.64,658.0
SRBL,079/080,q3,15.43,,2.53,8.81,1170968481.0,10118892809.0,0.0,0.0,
SRLI,082/083,q3,9.06,11.01,9.06,8.1,340858576.0,5014924056.0,40.89,40.89,370.5
SSHL,082/083,q3,-3.11,-3.11,-3.11,-5.68,-68890550.0,2952800000.0,-65.79,-65.79,204.6
STC,082/083,q3,36.19,36.19,36.19,7.25,95765017.0,352788651.0,143.69,143.69,5200.0
SWASTIK,082/083,q3,21.55,21.55,17.92,13.39,9240492.0,57750000.0,111.61,92.81,2000.0
SWBBL,082/083,q3,18.44,28.84,18.46,10.82,322725552.0,1750000000.0,36.52,36.56,674.2
SWMF,082/083,q4,19.69,19.69,14.9,12.68,217849107.0,1106286296.0,41.28,31.23,615.0
SYPNL,082/083,q3,3.75,3.75,3.75,2.83,30219737.0,1308136100.0,344.8,344.8,1293.0
TAMOR,082/083,q3,7.53,10.02,10.02,8.51,251016357.0,3332497000.0,45.61,60.69,457.0
