symbol,open,high,low,close,change_percent,volume,traded_amount
SHINED,1081.0,1081.0,1081.0,1081.0,-0.83,25.0,27025.0
SHIVM,627.7,660.0,627.7,631.0,-0.24,82324.0,52841108.2
SHL,511.9,511.9,500.0,504.4,-0.9,6324.0,3196777.1
SHLB,1392.0,1428.6,1392.0,1428.6,2.78,50.0,69966.0
SHPC,504.9,504.9,494.4,495.1,-0.18,36520.0,18103714.4
SICL,614.0,619.0,610.1,613.0,-0.16,2758.0,1689715.8
SIFC,510.1,514.0,508.0,512.0,0.43,5438.0,2779329.3
SIGS3,10.56,10.57,10.56,10.57,-0.75,300.0,3169.0
SIKLES,560.0,569.0,560.0,564.5,0.8,9325.0,5263213.7
SINDU,714.0,714.0,671.2,684.0,0.59,3985.0,2728372.0
SIPD,661.0,700.3,661.0,669.0,-1.62,20300.0,13753768.5
SJCL,269.0,272.0,269.0,269.9,-0.07,4295.0,1160717.6
SJLIC,412.0,415.0,410.0,414.5,-0.12,3076.0,1268109.5
SKBBL,749.8,749.8,744.9,749.8,0.42,9853.0,7347832.7
SKHEL,950.5,980.0,950.5,980.0,1.03,3244.0,3136888.9
SKHL,948.1,948.1,848.3,870.0,-12.83,61915.0,53538813.0
SLBBL,808.0,811.5,802.0,802.0,-0.99,2156.0,1740251.3
SLBSL,948.0,968.0,928.0,945.9,-0.2,1963.0,1842244.0
SLCF,10.25,10.3,9.7,9.7,-3.0,6977.0,70850.06
SMATA,728.0,735.0,722.0,722.0,-0.82,927.0,670977.5
SMB,1800.0,1827.9,1800.0,1827.9,0.32,380.0,685250.0
SMFBS,1522.0,1522.0,1466.0,1477.0,1.86,234.0,346608.8
SMH,510.0,515.0,507.2,512.0,0.39,7123.0,3639377.3
SMHL,499.0,499.0,492.0,496.0,0.0,19492.0,9650529.3
SMJC,435.2,441.0,432.2,432.2,-1.32,12656.0,5500772.8
SMPDA,760.0,760.0,747.0,753.0,0.41,956.0,715597.8
SNLI,410.0,417.0,410.0,411.0,0.56,11916.0,4905748.3
SNORL,880.0,905.9,880.0,895.0,-0.33,5560.0,4964768.7
SOHL,670.0,686.0,670.0,671.0,-1.32,158405.0,107033793.2
SONA,401.0,405.9,401.0,403.0,-0.74,9083.0,3669181.0
SOPL,800.0,805.6,796.0,796.0,-1.12,21037.0,16822852.6
SPC,415.0,418.5,411.3,418.5,0.12,1359.0,564008.0
SPDL,377.0,377.0,368.2,372.0,-0.8,25744.0,9535424.9
SPHL,520.0,539.0,520.0,532.0,0.24,3126.0,1655929.6
SPIL,680.5,697.0,680.5,696.6,-0.17,1870.0,1278758.8
SPL,630.0,658.0,630.0,658.0,3.04,2860.0,1832492.0
SRLI,369.1,372.8,369.1,370.5,-0.38,5181.0,1922315.8
SSHL,197.0,208.5,197.0,204.6,-0.87,82517.0,16986639.4
STC,5200.0,5231.0,5200.0,5200.0,0.0,767.0,3989225.0
SWASTIK,1984.6,2000.0,1982.0,2000.0,-0.74,195.0,387195.4
SWBBL,690.0,690.0,669.0,674.2,0.33,3891.0,2611592.9
SWMF,607.2,616.0,604.0,615.0,0.16,4552.0,2757606.5
SYPNL,1350.0,1350.0,1275.0,1293.0,-0.54,17666.0,22946893.4
TAMOR,453.0,457.9,453.0,457.0,0.88,34204.0,15577091.2
TPC,368.0,370.0,363.1,363.4,0.33,8555.0,3124126.4
TPKHL,535.0,555.0,535.0,542.0,0.0,23246.0,12592691.2
TRH,838.0,842.0,812.0,840.0,0.6,9178.0,7576045.0
TSHL,371.0,371.0,360.5,361.0,-1.9,4819.0,1755227.5
TTL,680.0,725.0,680.0,714.0,0.17,6817.0,4866449.0
TVCL,486.2,486.2,470.0,475.0,0.61,942.0,444558.5
UAIL,435.1,439.0,431.0,435.6,-0.11,10650.0,4625566.5
UHEWA,620.0,635.0,602.0,628.9,-0.65,31432.0,19610370.5
ULBSL,2625.0,2769.0,2625.0,2745.0,-0.11,200.0,540858.7
ULHC,341.1,351.0,332.0,342.0,-4.74,63497.0,21640841.5
UMHL,575.0,595.0,575.0,585.0,0.69,120565.0,70573196.9
UMRH,532.0,535.0,526.0,528.5,-0.66,3423.0,1813963.0
UNHPL,380.0,380.0,373.0,374.0,-1.32,13316.0,4994329.8
UNL,47400.0,47400.0,47400.0,47400.0,-0.63,10.0,474000.0
UNLB,1270.1,1270.1,1236.4,1262.9,-0.55,799.0,999429.6
UPCL,349.0,351.0,347.1,348.0,-0.14,18118.0,6314434.0
UPPER,193.5,195.0,193.0,193.5,0.0,45764.0,8858372.0
USHEC,491.1,505.8,491.1,501.2,0.24,7334.0,3680477.8
USHL,523.0,553.0,523.0,543.0,0.95,3581.0,1921273.8
USLB,1121.0,1130.0,1121.0,1121.0,-0.04,140.0,157042.1
VLBS,653.4,665.0,653.3,658.0,-0.02,948.0,626931.0
VLUCL,410.2,414.0,410.1,413.0,0.0,7058.0,2914684.2
WNLB,1300.0,1339.0,1300.0,1301.0,-2.33,293.0,383769.0
YMHL,615.0,633.0,615.0,623.0,0.0,17131.0,10670741.2
